user_nick,rank,new_count,new_stocks
따라올수있겠나,8,10,SK하이닉스; 두산에너빌리티; 삼성전자; 삼영엠텍; 심텍; 에코프로머티; 엘앤에프; 포스코퓨처엠; 한미반도체; 한전기술
울산시민,10,10,SK하이닉스; 삼성SDI; 삼성전자; 삼영엠텍; 에코프로비엠; 엘앤에프; 포스코퓨처엠; 하나머티리얼즈; 한국금융지주; 한화오션
STAR_DEAN,13,10,LG이노텍; 대덕전자; 대한광통신; 대한유화; 두산에너빌리티; 산일전기; 삼성E&A; 에코프로; 한미반도체; 한화
광화문매킬로이,14,10,HD현대일렉트릭; SK스퀘어; SK하이닉스; 두산; 두산에너빌리티; 심텍; 유진테크; 한미반도체; 한화; 한화오션
돌돌,16,10,HD현대일렉트릭; SK스퀘어; 로보티즈; 산일전기; 심텍; 와이씨; 원익IPS; 하이젠알앤엠; 한미반도체; 효성중공업
Happening,17,10,SK하이닉스; 대덕전자; 두산; 두산에너빌리티; 삼성전자; 심텍; 지엔씨에너지; 한미반도체; 현대무벡스; 효성중공업
고양이를위하여_GIC,18,10,HD현대; HD현대중공업; LS; LS ELECTRIC; SK하이닉스; 기아; 삼성SDI; 삼성전자; 한화오션; 현대차
범고래,19,10,SK하이닉스; 나노신소재; 로보로보; 심텍; 에코프로; 에코프로비엠; 엘앤에프; 코스모신소재; 한미반도체; 휴림로봇
wildcard,20,10,SK하이닉스; 두산에너빌리티; 로보스타; 삼성전자; 삼영엠텍; 새빗켐; 에코프로머티; 에코프로비엠; 엘앤에프; 해성디에스
MKNT_MIN,9,2,LG화학; 원익IPS
poee,4,1,롯데케미칼
숭실숭실해,7,1,HD현대중공업
HYSW_jj,11,1,에이피알
사계절투자법,1,0,
코스모스,2,0,
학쿡,3,0,
귀여운바위게,5,0,
아일렉스,6,0,
훈식,12,0,
보라색맛나,15,0,
