rank,user_nick,stock_name,weight,scraped_at
1,사계절투자법,엘앤에프,,2025-10-23 17:56:11
1,사계절투자법,에코프로머티,,2025-10-23 17:56:11
1,사계절투자법,에코프로비엠,,2025-10-23 17:56:11
1,사계절투자법,코스모신소재,,2025-10-23 17:56:11
1,사계절투자법,엔켐,,2025-10-23 17:56:11
1,사계절투자법,대주전자재료,,2025-10-23 17:56:11
2,코스모스,포스코퓨처엠,,2025-10-23 17:56:13
2,코스모스,한미반도체,,2025-10-23 17:56:13
2,코스모스,삼성SDI,,2025-10-23 17:56:13
2,코스모스,코스모신소재,,2025-10-23 17:56:13
2,코스모스,대한전선,,2025-10-23 17:56:13
2,코스모스,고영,,2025-10-23 17:56:13
4,poee,코스모신소재,,2025-10-23 17:56:17
4,poee,엘앤에프,,2025-10-23 17:56:17
4,poee,에코프로비엠,,2025-10-23 17:56:17
4,poee,LG화학,,2025-10-23 17:56:17
4,poee,한미반도체,,2025-10-23 17:56:17
4,poee,제주반도체,,2025-10-23 17:56:17
4,poee,두산밥캣,,2025-10-23 17:56:17
4,poee,롯데케미칼,,2025-10-23 17:56:17
5,귀여운바위게,에코프로,,2025-10-23 17:56:19
5,귀여운바위게,로보스타,,2025-10-23 17:56:19
5,귀여운바위게,에코프로비엠,,2025-10-23 17:56:19
5,귀여운바위게,코스모신소재,,2025-10-23 17:56:19
5,귀여운바위게,클로봇,,2025-10-23 17:56:19
5,귀여운바위게,한중엔시에스,,2025-10-23 17:56:19
5,귀여운바위게,삼성중공업,,2025-10-23 17:56:19
5,귀여운바위게,두산에너빌리티,,2025-10-23 17:56:19
6,아일렉스,삼성전자,,2025-10-23 17:56:21
6,아일렉스,SK하이닉스,,2025-10-23 17:56:21
6,아일렉스,두산에너빌리티,,2025-10-23 17:56:21
6,아일렉스,엘앤에프,,2025-10-23 17:56:21
6,아일렉스,지엔씨에너지,,2025-10-23 17:56:21
6,아일렉스,두산,,2025-10-23 17:56:21
6,아일렉스,해성디에스,,2025-10-23 17:56:21
6,아일렉스,산일전기,,2025-10-23 17:56:21
7,숭실숭실해,한화오션,,2025-10-23 17:56:23
7,숭실숭실해,삼성SDI,,2025-10-23 17:56:23
7,숭실숭실해,SK하이닉스,,2025-10-23 17:56:23
7,숭실숭실해,LG에너지솔루션,,2025-10-23 17:56:23
7,숭실숭실해,두산에너빌리티,,2025-10-23 17:56:23
7,숭실숭실해,삼성전자,,2025-10-23 17:56:23
7,숭실숭실해,HD현대중공업,,2025-10-23 17:56:23
8,따라올수있겠나,한미반도체,,2025-10-23 17:56:25
8,따라올수있겠나,엘앤에프,,2025-10-23 17:56:25
8,따라올수있겠나,SK하이닉스,,2025-10-23 17:56:25
8,따라올수있겠나,삼성전자,,2025-10-23 17:56:25
8,따라올수있겠나,삼영엠텍,,2025-10-23 17:56:25
8,따라올수있겠나,두산에너빌리티,,2025-10-23 17:56:255
8,따라올수있겠나,심텍,,2025-10-23 17:56:25
9,MKNT_MIN,엘앤에프,,2025-10-23 17:56:27
9,MKNT_MIN,에코프로비엠,,2025-10-23 17:56:27
9,MKNT_MIN,한미반도체,,2025-10-23 17:56:27
9,MKNT_MIN,에코프로머티,,2025-10-23 17:56:27
9,MKNT_MIN,코스모신소재,,2025-10-23 17:56:27
9,MKNT_MIN,엔켐,,2025-10-23 17:56:27
9,MKNT_MIN,효성중공업,,2025-10-23 17:56:27
9,MKNT_MIN,현대차,,2025-10-23 17:56:27
9,MKNT_MIN,LG화학,,2025-10-23 17:56:27
9,MKNT_MIN,원익IPS,,2025-10-23 17:56:27
10,울산시민,에코프로비엠,,2025-10-23 17:56:29
10,울산시민,엘앤에프,,2025-10-23 17:56:29
10,울산시민,삼성SDI,,2025-10-23 17:56:29
10,울산시민,SK하이닉스,,2025-10-23 17:56:29
10,울산시민,포스코퓨처엠,,2025-10-23 17:56:29
10,울산시민,하나머티리얼즈,,2025-10-23 17:56:29
10,울산시민,한국금융지주,,2025-10-23 17:56:29
10,울산시민,삼성전자,,2025-10-23 17:56:29
11,HYSW_jj,휴림로봇,,2025-10-23 17:56:32
11,HYSW_jj,삼성SDI,,2025-10-23 17:56:32
11,HYSW_jj,LS ELECTRIC,,2025-10-23 17:56:32
11,HYSW_jj,기아,,2025-10-23 17:56:32
11,HYSW_jj,레인보우로보틱스,,2025-10-23 17:56:32
